first,last,Rank,linkedin,Growth,Jan 24,title,company,location,Jul 23,Total Ranking,Top Voice,Followers Added
Anita,Nielsen,210,https://www.linkedin.com/in/anitanielsen/,12%,8572,President - Owner,LDK Advisory Services,"Chicago, IL",7628,310,,944
Guy,Rubin,211,https://www.linkedin.com/in/rubinguy/,11%,9750,Founder & CEO,ebsta,"London, England",8807,281,,943
Michael,Hanson,212,https://www.linkedin.com/in/michael-hanson-/,3%,31363,Founder & CEO,Growth Genie,"London, England",30445,108,,918
Bill,Stinnett,213,https://www.linkedin.com/in/billstinnett/,4%,21590,Founder and President,"Sales Excellence, Inc.","Bradenton, Florida",20675,155,,915
Tim,Savage,214,https://www.linkedin.com/in/timothywsavage/,4%,22580,VP Sales,Conceal,"Lexington, Kentucky",21695,148,,885
Gopalakrishna,Kris,215,https://www.linkedin.com/in/sgcrishna/,8%,11820,GTM & Sales Growth Leader,WINsightsWINsights,"Sydney, New South Wales, Australia",10935,252,,885
Lindsey,Boggs,216,https://www.linkedin.com/in/lindseyboggs/,2%,43645,VP Sales Development & Enablement,Glassbox,"Raleigh-Durham, North Carolina",42782,72,Top Sales Development Voice,863
Jeff,Kirchick,217,https://www.linkedin.com/in/jeffkirchick/,8%,11879,"Limited Partner, Stage 2 Capital Catalyst",Stage 2 Capital,"Boston, MA",11016,251,,863
Brent,Adamson,218,https://www.linkedin.com/in/brentadamson/,6%,15235,"Advisor, Researcher, Speaker, Consultant", Self Employed ,"Leesburg, Virginia",14376,212,,859
Ding,Zheng,219,https://www.linkedin.com/in/dingzheng25/,8%,11227,The Sales Rapper,The Sales Rapper,"Austin, Texas",10369,260,,858
Virginia,Coates,220,https://www.linkedin.com/in/virginiacoatesbusinessdevelopment/,4%,21176,Account Executive,Employment Hero,"Wilmslow, England",20321,157,,855
Taylor,Del Giudice,221,https://www.linkedin.com/in/taylordelgiudice/,7%,13501,Co-Founder,Quack,Calgary,12654,233,,847
Luigi,Prestinenzi,222,https://www.linkedin.com/in/luigiprestinenzi/,5%,17919,Co-Founder,Growth Forum,"Melbourne, Victoria, Australia",17081,183,,838
Gerald,Zankl,223,https://www.linkedin.com/in/geraldzankl/,8%,11197,CEO & Co-Founder (Former Global Director of Inside Sales),Kickscale,"Vienna, Vienna, Austria",10363,262,Top Sales Voice,834
Steffaney,Zohrabyan,224,https://www.linkedin.com/in/steffaneyzohrabyan/,4%,22505,Sales Enablement Insights & Innovation,Cisco,"Lehi, Utah",21680,149,,825
Dan,Jourdan,225,https://www.linkedin.com/in/thedeejsaassales/,5%,16229,Salesman,The Sales Energizer ,"Atlanta, GA",15420,203,,809
Rosie,Purr,226,https://www.linkedin.com/in/rosiepurr/,6%,13585,Account Executive,GiddyUp,"Madrid, Community of Madrid, Spain",12780,231,,805
Clive,Miller,227,https://www.linkedin.com/in/clivemiller/,6%,13829,Founder and Managing Partner,SalesSense,"Greater Exeter Area, United Kingdom",13034,226,,795
Jack,Smith,228,https://www.linkedin.com/in/jackathirewell/,7%,11395,"Director, Sales Recruiting Practice",Hirewell,"Chicago, ILlinois",10609,256,,786
Kristie,Jones,229,https://www.linkedin.com/in/kristiekjones/,22%,4415,Founder and Principal,Sales Acceleration Group,"St. Louis, Missouri",3630,375,Top Sales Prospecting Voice,785
Tom,Blue,230,https://www.linkedin.com/in/tombluelead411/,3%,24414,CEO and Chief Sales Officer,Lead411,"Boulder, Colorado",23629,137,Top Sales Prospecting Voice,785
Katherine,Caldwell,231,https://www.linkedin.com/in/katherine-caldwell/,5%,15123,GTM Strategy Lead,Magma Capital Funds,Greater Seattle Area,14348,215,,775
Wesleyne,,232,https://www.linkedin.com/in/wesleyne,8%,10146,Founder & Chief Transformation Officer,TransformedSales,"Houston, TX",9380,278,Top Sales Voice,766
Julia,Nimchinski,233,https://www.linkedin.com/in/julia-nimchinski/,5%,16434,Partner,Nimchinski/Michael,"Tel Aviv District, Israel",15671,198,,763
Jeff,Bajorek,234,https://www.linkedin.com/in/jeffbajorek/,8%,10481,"Sales Trainer, Advisor and Coach for B2B Sales Leaders","Parabola Consulting, LLC","Novi, Michigan",9724,274,,757
Jill,Bruno,235,https://www.linkedin.com/in/jill-bruno-47b81855,12%,7223,"Leader, Sales Development",Rocketreach ,"Middletown, New Jersey",6468,335,,755
Ryan,Scalera,236,https://www.linkedin.com/in/ryanscalera/,5%,16104,Founder,Arkenstone GTM,"Summit, New Jersey",15349,204,,755
Fred,Diamond,237,https://www.linkedin.com/in/freddiamond/,5%,16720,President and Co-Founder,Institute for Excellence in Sales,,15974,195,,746
Boris,Murdzev,238,https://www.linkedin.com/in/cold-outreach-pro,12%,6741,Sales,Mailshake ,United States,5996,343,,745
Elie,Daverio,239,https://www.linkedin.com/in/elie-daverio/,5%,15178,SDR Manage,SWEEP,"London, United Kingdom",14446,214,,732
Josh,Roth,240,https://www.linkedin.com/in/josh-g-roth,3%,24325,"VP, Sales",Lob,"San Francisco, California",23595,138,Top Voice,730
Michael,Piotraschke,241,https://www.linkedin.com/in/michael-piotraschke-new-business-specialist-and-raising-cybersecurity-awareness/,24%,3811,Director Sales,SoSafe,"Cologne, North Rhine-Westphalia, Germany",3083,387,,728
David,Lindner,242,linkedin.com/in/davidklindner,26%,3501,Enterprise Client Executive,DoiT International,"San Antonio, Texas",2776,392,,725
Kyle,Williams,243,https://www.linkedin.com/in/kylewill/,25%,3594,Founder,Brickstack,Florida,2877,390,Top Go-to-Market Strategy Voice,717
Erik,McKee,244,https://www.linkedin.com/in/erik-mckee-3a51b9185/,3%,25052,Co-Owner ,12th State Design Co. ,"Durham, North Carolina",24337,134,,715
Mario,Martinez,245,https://www.linkedin.com/in/mthreejr,2%,34327,CEO and Founder,Vengreso | Type Less. Do More. ,"San Francisco, California,",33616,98,,711
Dr. Jim,Kanichirayil,246,linkedin.com/in/drjimk,9%,8423,"VP of Growth, Product Evangelist",EngageRocket,"Milwaukee, Wisconsin",7731,314,,692
Aaron,Barreiro,247,https://www.linkedin.com/in/aaronbuildscommunity,9%,8555,Revenue & GTM,Poseidon,"Brownsville, TX",7872,311,,683
Kevin,Hopp,248,https://www.linkedin.com/in/khopp/,4%,16006,Founder,Hopp Consulting,"San Diego, California",15342,205,,664
Hilmon,Sorey,249,https://www.linkedin.com/in/hilmonsorey,3%,25603,Co-Founder,"CoachCRM, ClozeLoop","Miami, Florida",24942,130,,661
Greg,Baumann,250,https://www.linkedin.com/in/glbaumann/,20%,3948,Strategic Account Executive,Outreach ,"New York, New York",3288,385,,660
Chris,Hatfield,251,https://www.linkedin.com/in/chrishatfieldsalespsyche/,6%,12197,Founder & Coach,Sales Psyche,"London, England",11537,248,,660
Raffael,Fernandes,252,https://www.linkedin.com/in/raffaelfernandes/,7%,10269,Co-Founder & Director,Flow State,"London, United Kingdom",9610,277,,659
Mike,Simmons,253,https://www.linkedin.com/in/mikesimmons/,15%,5084,Fractional (CRO) Sales & Success Leader | Business Advisor | Coach | Enabler,Catalyst Sale,"Phoenix, AZ",4431,364,,653
Aaron,Evans,254,https://www.linkedin.com/in/aaronevanssalesenablement/,3%,21906,Co-Founder & Head of Training and Enablement,Flow State,"London, England",21267,153,,639
Allan,Langer,255,https://www.linkedin.com/in/allanlanger/,5%,13725,International Sales Trainer & Coach / Keynote Speaker / Best Selling Author,The 7 Secrets Sales Academy,"East Greenwich, Rhode Island",13094,227,,631
Matt,Sterbenz,256,https://www.linkedin.com/in/matt-sterbenz-854023183/,18%,4036,Account Executive,ServiceBell,"Tampa, Florida",3414,382,,622
Marc,Mac,257,https://www.linkedin.com/in/marcmachlovitz,7%,10070,Co-Founder / Business Development,Caret,"New York City, New York",9455,279,,615
Elyse,Archer,258,https://www.linkedin.com/in/elysearcher/,5%,13352,Founder and CEO,She Sells with Elyse Archer,"Cary, North Carolina",12738,234,,614
Karen,Kelly,259,www.linkedin.com/in/karen-kelly-sales-trainer-,15%,4494,"CEO, Founder",K2 Performance Consulting ,"Toronto, Ontario, Canada",3892,374,,602
Alison,Edgar,260,https://www.linkedin.com/in/alison-edgar/,2%,26910,Contributing Writer,CE Marketing Group Ltd,"London, England",26321,122,,589
Bryan,Elsesser,261,https://www.linkedin.com/in/bryanelsesser/,2%,26899,Consultant - Growth,Pavilion,"New York, New York",26316,123,,583
Paul,Castain,262,https://www.linkedin.com/in/paulcastain/,5%,11215,Chief Sales Officer,Castain Training Systems,"New York City, New York",10633,261,,582
Andrew,Monaghan,263,https://www.linkedin.com/in/andrewmonaghan/,9%,6855,Founder & CEO,Unstoppable.do and also Sales Bluebird,"Denver, CO",6287,341,,568
Michelle,Hecht,264,https://www.linkedin.com/in/michellehecht/,8%,7612,Global Sales Enablement Manager,HiBob,"New York, New York",7049,330,,563
