first,last,Rank,linkedin,Growth,Jan 24,title,company,location,Jul 23,Total Ranking,Top Voice,Followers Added
Bernadette,McClelland,320,https://www.linkedin.com/in/bernadettemcclelland/,3%,11665,High Content Speaker on Embracing Uncertainty and Driving Growth,Bernadette McClelland ,"Littleton, Colorado",11376,253,Top Voice,289
Amy,Slater,321,https://www.linkedin.com/in/amyslater/,3%,11359,"Vice President, GSI, Global Sales",Genesys,"San Francisco, California",11072,258,,287
Chloe,Stewart,322,https://www.linkedin.com/in/chloestewart/,7%,4413,Chief Revenue Officer,Pilot.com,"San Francisco, California",4137,376,,276
Jack,Kosakowski,323,https://www.linkedin.com/in/jackkosakowski1/,1%,23029,Chief Executive Officer (US Division),Creation Agency,"Scottsdale, Arizona",22760,146,,269
Daniel,Spencer,324,https://www.linkedin.com/in/daniel-spencer-30b13919/,2%,17932,Managing Director,Activate Growth,"Sydney, Australia",17664,181,,268
Jeff,Macomber,325,https://www.linkedin.com/in/jeffmacomber/,8%,3677,Managing Director/Co-Founder,Revenue Anchor,"Atlanta, GA",3409,388,,268
Kane,Draper,326,https://www.linkedin.com/in/kanedraper/,3%,9095,Senior Client Partner,Health Generation,"Sydney, New South Wales, Australia",8841,301,,254
Brooke,Holt,327,https://www.linkedin.com/in/brookeholt/,5%,4963,Sales Manager,Sales Gravy,"Thomson, Georgia",4712,367,,251
Annie,Mewborn,328,https://www.linkedin.com/in/annie-mewborn-8bb07899/,2%,13553,Mid-Market Sales Manager,Attentive,"Austin, Texas",13304,232,,249
Bill,Caskey,329,https://www.linkedin.com/in/billcaskey/,3%,7401,President,Caskey Achievement Strategies,"Indianapolis, Indiana",7154,331,,247
Steve,Hall,330,https://www.linkedin.com/in/stevehallsydney/,2%,14134,"Managing Director, Executive Sales Coach",Executive Sales Coaching Australia,"Sydney, New South Wales, Australia",13889,225,,245
Ben,Sardella,331,https://www.linkedin.com/in/bensardella/,1%,19923,"Global Director, Digital Media & GenAI",Adobe,"Los Gatos, California",19683,167,,240
Callum,Henderson,332,https://www.linkedin.com/in/callum-henderson-a961075a/,3%,9126,Chief Revenue Officer,EngageTech,"London, United Kingdom",8892,298,,234
Courtney,Vigiil,333,https://www.linkedin.com/in/courtneyvigil/,3%,8959,Sr Director Global Sales Enablement,Ceridian,"Raleigh-Durham-Chapel, NC",8731,303,,228
Mike,Wilkinson,334,https://www.linkedin.com/in/mikewilkinson-thevalueexpert/,5%,4531,Sales and Value Selling Specialist | Value Pricing | Business Consulting,Axia Value Solutions,"Halesworth, England",4304,373,,227
Shawanda,Roberts,335,https://www.linkedin.com/in/shawandaroberts/,8%,3052,Global Vice President of Sales & Marketing Activation,Frost & Sullivan,"San Antonio, Texas",2825,394,,227
Una,Doyle,336,https://www.linkedin.com/in/unadoyle/,1%,18773,Business Strategist | Business Coach for Creative Business Owners,CreativeFlow.tv,"Burnley, England",18547,173,,226
Alex,Goldfayn,337,https://www.linkedin.com/in/alexgoldfayn/,1%,17753,CEO,The Revenue Growth Consultancy,"Lake Forest, Illinois",17535,186,,218
JACK,WILSON,338,https://www.linkedin.com/in/jackdwilson/,4%,6231,Advisor,FinFit,"Boston, MA",6014,351,,217
Chandler,Boy,339,https://www.linkedin.com/in/chandlerboy/,5%,4901,Renewal Sales Specialist ,Adobe,"Spanish Fork, Utah",4686,369,,215
Adir,Ben-Yehuda,340,https://www.linkedin.com/in/adir-ben-yehuda-5465261b/,2%,13674,Vice President of Sales and Founding Member,Walnut,"San Antonio, Texas",13467,228,,207
Ollie,Whitfield,341,https://www.linkedin.com/in/olliewhitfield/,3%,7679,Demand Generation - Team Lead,VanillaSoft,"Whitfield, England",7479,328,,200
Brooke,Bachesta,342,https://www.linkedin.com/in/brooke-bachesta,3%,8102,Director of Commercial Learning Design,JLL,"Seattle, Washington",7904,317,,198
Michael,Lang,343,https://www.linkedin.com/in/sales-leadership-training/,3%,7987,Managing Director,SG Partners,"Brisbane, England",7792,319,,195
Daniel,Watkins,344,https://www.linkedin.com/in/d-watkins/,3%,6581,"Chairman Of The Board, Founder",DataBased,"Salt Lake City, Utah",6388,345,,193
Deb,Calvert,345,https://www.linkedin.com/in/debcalvertpeoplefirst,1%,20150,Founder of People First Leadership ,People First Productivity Solutions,"Kansas City, Missouri",19957,165,,193
Mike,Schultz,346,https://www.linkedin.com/in/mikeschultz50/,2%,8794,President,RAIN Group,"Boston, MA",8602,308,,192
Sue,Barrett,347,https://www.linkedin.com/in/suebarrett1/,2%,10536,Founder & Managing Director,Barrett Consulting Group Pty Ltd,"Melbourne, Victoria, Australia",10351,273,,185
Deanna,Ransom,348,https://www.linkedin.com/in/deeransom/,5%,3928,Co-Founder & Co-CEO,Red Monkey Consulting,"Atlanta, Georgia",3744,386,,184
David,Marsh,349,https://www.linkedin.com/in/davidmarsh/,5%,3667,Founder,Wave Representatives,"San Diego, California",3489,389,,178
Joe,Venuti,350,https://www.linkedin.com/in/joe-venuti-04b34b49/,1%,24026,Vice President of Commercial Sales,GMI - Global Market Innovators,"Phoenix, AZ",23848,140,,178
Ed,Ross,351,https://www.linkedin.com/in/coachedross/,5%,4020,CEO,Core AI,North Carolina,3845,383,,175
Melissa,Madian,352,https://www.linkedin.com/in/melissamadian/,3%,6617,Author,TMM Enablement Services Inc.,"Toronto, Ontario, Canada",6447,344,,170
Jeff,Davis,353,https://www.linkedin.com/in/meetjeffdavis/,2%,9182,Founder,RevEngine,"Chicago, Illinois",9013,295,Top Voice,169
Jeff,Swan,354,https://www.linkedin.com/in/jeffswan18/,3%,6237,Business Broker & Commercial REALTOR®,Business Broker & Commercial Real Estate Agent,Business Finders Canada,6069,350,,168
Robert,McLaws,355,https://www.linkedin.com/in/robertmclaws/,6%,2771,Co-Founder & CEO,BurnRate.io,"Tallahassee, Florida",2604,397,,167
Christian,Erba,356,https://www.linkedin.com/in/christian-erba-springorum-a949191ba,3%,5809,Senior AE,Contractbook,"Copenhagen, Capital Region, Denmark",5643,357,,166
Mark,Hunter,357,https://www.linkedin.com/in/markhunter/,0%,306013,"Lead Sales Hunter, Sales Speaker, and Sales Trainer/Consultant",The Sales Hunter,Dallas-Fort Worth Metroplex,305848,2,,165
Nancy,Bleeke,358,https://www.linkedin.com/in/nancybleeke,3%,5807,President and Chief Sales Officer,Sales Pro Insider,"Boca Raton, Florida",5644,358,,163
Kendra,Lee,359,https://www.linkedin.com/in/kendralee/,2%,9403,"Author, Sales & Marketing B2B Lead Generation Authority, Speaker & President",KLA Group,"Littleton, Colorado",9247,290,,156
Bill,Kiani,360,https://www.linkedin.com/in/billkiani,3%,6099,Head Of Sales & Business Development ,Xpedeon ,"Sonning, England",5945,354,,154
Kenny,Baldo,361,https://www.linkedin.com/in/ken-baldo/,2%,9395,General Manager (USA),3d Signals,"New York City, New York",9244,291,,151
Travis,Gibson,362,https://www.linkedin.com/in/travisgibsonyeg/,4%,4167,President & Founder,Gibson Growth,"Fort Saskatchewan, Alberta, Canada",4016,379,,151
Chris,Schaum,363,www.linkedin.com/in/chrisschaum,2%,7160,Director Of Business Development,Verisk,"Austin, Texas",7014,336,,146
Eric,Lofholm,364,https://www.linkedin.com/in/ericlofholm/,1%,20315,Owner & President ,Eric Lofholm International,"Sacramento, California",20174,163,,141
Kevin,Kuder,365,https://www.linkedin.com/in/kevinkuder/,3%,5364,President,"AlphaWellness Management, Inc","Carlsbad, California",5224,361,,140
